New Claim Date,variable,value,type
2020-08-09,"$75,000 to less than $150,000",357.0,initial
2020-08-09,"$50,000 to less than $75,000",448.0,initial
2020-08-09,"$35,000 to less than $50,000",528.0,initial
2020-08-15,"$75,000 to less than $150,000",14351.0,continued
2020-08-15,"$50,000 to less than $75,000",23685.0,continued
2020-08-15,Zero,1332.0,continued
2020-08-15,"$20,000 to less than $35,000",53514.0,continued
2020-08-15,"$150,000 or more ",3162.0,continued
2020-08-15,"Less than $20,000",103800.0,continued
2020-08-15,"$35,000 to less than $50,000",30484.0,continued
2020-08-16,"$75,000 to less than $150,000",293.0,initial
2020-08-16,"$20,000 to less than $35,000",693.0,initial
2020-08-16,"$50,000 to less than $75,000",383.0,initial
2020-08-16,"$35,000 to less than $50,000",368.0,initial
2020-08-16,"$150,000 or more ",82.0,initial
2020-08-16,Zero,210.0,initial
2020-08-16,"Less than $20,000",1350.0,initial
2020-08-22,"Less than $20,000",98545.0,continued
2020-08-22,Zero,1195.0,continued
2020-08-22,"$50,000 to less than $75,000",23076.0,continued
2020-08-22,"$150,000 or more ",3079.0,continued
2020-08-22,"$20,000 to less than $35,000",52143.0,continued
2020-08-22,"$35,000 to less than $50,000",29579.0,continued
2020-08-22,"$75,000 to less than $150,000",13516.0,continued
2020-08-23,Zero,235.0,initial
2020-08-23,"$150,000 or more ",71.0,initial
2020-08-23,"$50,000 to less than $75,000",358.0,initial
2020-08-23,"$20,000 to less than $35,000",556.0,initial
2020-08-23,"Less than $20,000",1270.0,initial
2020-08-23,"$35,000 to less than $50,000",387.0,initial
2020-08-23,"$75,000 to less than $150,000",303.0,initial
2020-08-29,"$50,000 to less than $75,000",22475.0,continued
2020-08-29,"Less than $20,000",94663.0,continued
2020-08-29,Zero,1060.0,continued
2020-08-29,"$150,000 or more ",3104.0,continued
2020-08-29,"$20,000 to less than $35,000",50280.0,continued
2020-08-29,"$75,000 to less than $150,000",13687.0,continued
2020-08-29,"$35,000 to less than $50,000",28620.0,continued
2020-08-30,"Less than $20,000",1110.0,initial
2020-08-30,"$20,000 to less than $35,000",502.0,initial
2020-08-30,"$50,000 to less than $75,000",304.0,initial
2020-08-30,Zero,176.0,initial
2020-08-30,"$75,000 to less than $150,000",301.0,initial
2020-08-30,"$150,000 or more ",83.0,initial
2020-08-30,"$35,000 to less than $50,000",394.0,initial
2020-09-05,"$75,000 to less than $150,000",13189.0,continued
2020-09-05,Zero,882.0,continued
2020-09-05,"$50,000 to less than $75,000",21683.0,continued
2020-09-05,"$150,000 or more ",3013.0,continued
2020-09-05,"$20,000 to less than $35,000",48050.0,continued
2020-09-05,"$35,000 to less than $50,000",27588.0,continued
2020-09-05,"Less than $20,000",90025.0,continued
2020-09-06,"$75,000 to less than $150,000",271.0,initial
2020-09-06,"Less than $20,000",1087.0,initial
2020-09-06,"$20,000 to less than $35,000",560.0,initial
2020-09-06,Zero,195.0,initial
2020-09-06,"$50,000 to less than $75,000",324.0,initial
2020-09-06,"$150,000 or more ",85.0,initial
2020-09-06,"$35,000 to less than $50,000",388.0,initial
2020-09-12,"$150,000 or more ",2935.0,continued
2020-09-12,"Less than $20,000",85796.0,continued
2020-09-12,"$35,000 to less than $50,000",26560.0,continued
2020-09-12,Zero,773.0,continued
2020-09-12,"$75,000 to less than $150,000",12746.0,continued
2020-09-12,"$20,000 to less than $35,000",45750.0,continued
2020-09-12,"$50,000 to less than $75,000",20994.0,continued
2020-09-13,"$75,000 to less than $150,000",238.0,initial
2020-09-13,"Less than $20,000",1132.0,initial
2020-09-13,"$20,000 to less than $35,000",556.0,initial
2020-09-13,"$35,000 to less than $50,000",341.0,initial
2020-09-13,"$150,000 or more ",86.0,initial
2020-09-13,Zero,206.0,initial
2020-09-13,"$50,000 to less than $75,000",281.0,initial
2020-09-19,"$75,000 to less than $150,000",11799.0,continued
2020-09-19,Zero,621.0,continued
2020-09-19,"$150,000 or more ",2797.0,continued
2020-09-19,"$50,000 to less than $75,000",20160.0,continued
2020-09-19,"Less than $20,000",81521.0,continued
2020-09-19,"$20,000 to less than $35,000",43919.0,continued
2020-09-19,"$35,000 to less than $50,000",25669.0,continued
2020-09-20,"$20,000 to less than $35,000",472.0,initial
2020-09-20,"$75,000 to less than $150,000",212.0,initial
2020-09-20,Zero,171.0,initial
2020-09-20,"$35,000 to less than $50,000",310.0,initial
2020-09-20,"$50,000 to less than $75,000",262.0,initial
2020-09-20,"Less than $20,000",1007.0,initial
2020-09-20,"$150,000 or more ",65.0,initial
2020-09-26,"$35,000 to less than $50,000",24847.0,continued
2020-09-26,"$50,000 to less than $75,000",19686.0,continued
2020-09-26,"$150,000 or more ",2805.0,continued
2020-09-26,"Less than $20,000",77279.0,continued
2020-09-26,"$20,000 to less than $35,000",42128.0,continued
